"SMTPPro - Email Log","SMTPPro - Log Email"
"SMTP Pro Email Settings","Pengaturan Email SMTP Pro"
"Email Log","Log Email"
"Aschroder Extensions","Ekstensi Aschroder"
"SMTP Pro","SMTP Pro"
"General Settings","Pengaturan Umum"
"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>Ekstensi Email SMTP Pro</span> </div> Ubah pengaturan koneksi SMTP di bawah. Jika anda mempunyai pertanyaan silahkan kunjungi <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>."
"Email Connection","Koneksi Email"
"Google Apps Email Address","Alamat Email Google Apps"
"Google Apps Password","Sandi Google Apps"
"Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Masukkan nama pengguna dan kata sandi Google Apps atau Gmail anda di sini. Untuk konfigurasi yang disarankan silahkan mengacu ke panduan di <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"SendGrid Username","Nama Pengguna SendGrid"
"SendGrid Password","Kata Sandi SendGrid"
"Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>","Silahkan masukkan nama pengguna dan kata sandi SendGrid anda di sini. Untuk informasi lebih lanjut silahkan kunjungi <a href='http://sendgrid.com' target='_blank'>SendGrid</a>"
"Amazon SES Access Key","Kunci Akses Amazon SES"
"Amazon SES Secret Key","Kunci Rahasia Amazon SES"
"Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>","Dukungan untuk Amazon SES pada SMTP Pro masih terbatas dan lebih disarankan untuk kepentingan testing dan pengembangan. Untuk integrasi total dengan pilihan regional, logging error/bounce dan statistik pengiriman silahkan menggunakan ekstensi premium: <a href='http://magesend.com' target='_blank'>MageSend</a>"
"Authentication","Otentikasi"
