# of Use,# Penggunaan
%1$s incl tax.,% 1 $ s termasuk pajak.
%s - %s,% S -% s
%s Item(s),% S Item (s)
(Copy data from: %s),(Copy data dari:% s)
(Will make search for the query above return results for this search.),(Akan melakukan pencarian untuk permintaan atas hasil kembali untuk pencarian ini.)
* Required Fields,* Bidang Yang Harus Diisi
-- Please Select --,- Silahkan Pilih -
A name is required,Nama harus diisi
ALL GROUPS,SEMUA KELOMPOK
AM,AM
Action,Tindakan
Add Attribute,Tambahkan Atribut
Add Design Change,Tambahkan Desain Ganti
Add Group,Tambah Grup
Add Items to Cart,Tambahkan Produk to Cart
Add New,Tambah Baru
Add New Attribute,Tambahkan Atribut Baru
Add New Attribute Set,Add New Atribut Set
Add New Group,Tambahkan Grup Baru
Add New Images,Tambahkan Gambar Baru
Add New Option,Tambahkan Opsi Baru
Add New Row,Add New Row
Add New Search Term,Tambah Baru Cari Term
Add New Set,Add New Set
Add Option,Tambahkan Option
Add Product,Tambah Produk
Add Product To Websites,Tambahkan Produk Untuk Website
Add Root Category,Tambahkan Akar Kategori
Add Subcategory,Tambahkan Subkategori
Add Tax,Tambahkan Pajak
Add Tier,Tambahkan Tier
Add to Cart,Tambahkan ke Cart
Add to Compare,Tambahkan ke Bandingkan
Add to My Wishlist,Tambahkan ke Daftar Keinginan Saya
Add to Wishlist,Tambahkan ke Daftar Keinginan
Additional Information,Informasi Tambahan
All,Semua
All Product Types,Semua Jenis Produk
All products of this set will be deleted! Are you sure you want to delete this attribute set?,Semua produk dari himpunan ini akan dihapus! Apakah Anda yakin ingin menghapus atribut ini diatur?
Allow HTML-tags on Front-end,Biarkan HTML-tag pada Front-end
Allowed File Extensions,Diizinkan Ekstensi File
Allowed file extensions to upload,Diizinkan ekstensi file untuk meng-upload
Amount,Jumlah
Apply To,Terapkan Untuk
Apply To Configurable/Grouped Product,Terapkan Untuk Dikonfigurasi / Dikelompokkan Produk
Approved,Disetujui
Are you sure you want to delete this category?,Apakah Anda yakin ingin menghapus kategori ini?
Are you sure you would like to remove all products from your comparison?,Apakah Anda yakin ingin menghapus semua produk dari perbandingan Anda?
Are you sure you would like to remove this item from the compare products?,Apakah Anda yakin ingin menghapus item ini dari produk membandingkan?
Are you sure?,Apa kamu yakin?
As low as:,Serendah:
Assign,Menetapkan
Assign product link,Menetapkan link produk
Assign product to category,Menetapkan produk untuk kategori
Assigned Products,Produk ditugaskan
Associated Products,Associated Produk
Attrib. Set Name,Attrib. Set Nama
Attribute Code,Atribut Kode
Attribute Information,Atribut Informasi
Attribute Label,Atribut Label
Attribute Model,Atribut Model
Attribute Name:,Nama Atribut:
Attribute Properties,Atribut Properti
Attribute Set,Atribut Set
"Attribute group with the ""/name/"" name already exists","Atribut kelompok dengan ""/ nama /"" nama sudah ada"
Attribute model not defined,Atribut model tidak didefinisikan
Attribute with the same code already exists,Atribut dengan kode yang sama sudah ada
Attributes,Atribut
Attrribute names can be specified per store.,Nama Attrribute dapat ditentukan per toko.
Autogenerate,Autogenerate
Availability,Tersedianya
Availability: In stock.,Ketersediaan: In stock.
Availability: Out of stock.,Ketersediaan: Keluar dari saham.
Back,Kembali
Backend Model,Backend Model
Backend Table,Backend Tabel
Backend Table Title,Backend Tabel Judul
Backorders,Backorders
Base directory to upload image file is not specified,Direktori dasar untuk meng-upload file gambar tidak ditentukan
Based On,Berdasarkan
Best Value,Nilai Terbaik
Block after Info Column,Blok setelah Info Kolom
Bottom/Left,Bawah / Kiri
Bottom/Right,Kanan Bawah
Browse By,Telusuri By
Buy %1$s for %2$s,Beli% 1 $ s untuk% 2 $ s
Buy %1$s for %2$s (%3$s incl. tax) each,Beli% 1 $ s untuk% 2 $ s (% 3 $ s termasuk pajak.) Masing-masing
Buy %1$s for %2$s each,Beli% 1 $ s untuk% 2 $ s masing-masing
Can be used only with catalog input type Dropdown,Hanya dapat digunakan dengan katalog input type Dropdown
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Hanya dapat digunakan dengan jenis masukan katalog Dropdown, Multiple Pilih dan Harga"
Can't create image.,Tidak dapat membuat gambar.
Cannot create writeable directory '%s',Tidak dapat membuat direktori ditulisi '% s'
Cart Item Attribute,Keranjang Barang Atribut
Catalog,Katalog
Catalog Input Type for Store Owner,Katalog Masukan Type untuk Store Owner
Catalog Price Scope,Katalog Harga Lingkup
Catalog Section,Katalog Bagian
"Catalog, Search","Katalog, Cari"
Categories,Kategori
Categories Sitemap,Kategori Sitemap
Category,Kategori
Category API,Kategori API
Category Data,Kategori data
Category Navigation:,Kategori Navigasi:
Category Products,Kategori Produk
Category Top Navigation,Kategori Top Navigation
Category URL Suffix,Kategori URL Suffix
Category attributes API,Kategori atribut API
Category delete error,Kategori error delete
Category deleted,Kategori dihapus
Category move error,Kategori bergerak kesalahan
Category must be instance of Mage_Catalog_Model_Category,Kategori harus contoh Mage_Catalog_Model_Category
Category saved,Kategori disimpan
Change,Perubahan
Change or Retrieve attribute store view,Mengubah atau Ambil atribut tampilan toko
Change status,Perubahan status
Check items to add to the cart or,Periksa item untuk menambahkan ke keranjang atau
Choose an Option...,Pilih Opsi ...
Choose option...,Pilihan Pilih ...
Clear All,Bersihkan Semua
Clear All Items,Hapus Semua Produk
Close Window,Tutup Jendela
Collapse All,Perkecil Semua
Comparable,Sebanding
Comparable on Front-end,Sebanding di Front-end
Compare Items,Bandingkan Produk
Compare Products,Bandingkan Produk
Compare Products (%d),Bandingkan Produk (% d)
Compare Products - %d Items,Bandingkan Produk -% d item
Compare Products List,Bandingkan Produk Daftar
Compare list successfully cleared,Bandingkan Daftar berhasil dibersihkan
Conditions Combination,Kondisi Kombinasi
Configurable Product,Produk dikonfigurasi
Configurable Product Settings,Pengaturan Produk dikonfigurasi
Continue,Terus
Copy From Configurable,Salin Dari Dikonfigurasi
Country/State,Negara / Negara
Create,Membuat
Create (Upload),Buat (Upload)
Create Empty,Buat Kosong
Create Product Settings,Buat Pengaturan Produk
Create Simple Associated Product,Buat Simple Produk Terkait
Create new category,Buat kategori baru
Create new product,Buat produk baru
Cross-sells,Cross-menjual
Currently Shopping by,Saat Belanja oleh
Custom Design,Custom Design
Custom Options,Kustom Pilihan
Customer Group,Kelompok pelanggan
Customers Reviews,Pelanggan Ulasan
Customers Tagged Product,Pelanggan Tagged Produk
Customers for alert %s was successfuly added to queue,Pelanggan untuk waspada% s telah successfuly ditambahkan ke antrian
Data Type for Saving in Database,Jenis data untuk Penghematan database
Date,Tanggal
Date & Time Custom Options,Tanggal & Waktu opsi kustomisasi
Date Subscribed,Tanggal Berlangganan
Date fields order,Tanggal bidang memesan
Datetime,Datetime
Decimal,Desimal
Decimal Number,Jumlah desimal
Declare attribute value saving scope,Menyatakan nilai atribut menghemat ruang lingkup
Default Qty,Standar Qty
Default Values,Nilai Default
Default price,Harga default
Default value,Nilai default
Delete,Hapus
Delete Attribute,Hapus Atribut
Delete Attribute Set,Hapus Atribut Set
Delete Category,Hapus Kategori
Delete Option,Hapus Pilihan
Delete Row,Hapus Row
Delete Search,Hapus Cari
Delete Selected Group,Hapus Grup Terpilih
Delete category,Hapus kategori
Delete product,Hapus produk
Depends on design theme,Tergantung pada tema desain
Design,Disain
Disabled,Cacat
