%value%' appears to be a DNS hostname but cannot extract TLD part,%value%' tampaknya menjadi nama host DNS tetapi tidak dapat mengekstrak TLD bagian
'%value%' appears to be a DNS hostname but cannot match TLD against known list,%value%' tampaknya menjadi nama host DNS tetapi tidak bisa cocok TLD terhadap daftar diketahui
'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%',%value%' tampaknya menjadi nama host DNS tetapi tidak bisa cocok melawan hostname skema untuk TLD '% TLD%'
'%value%' appears to be a DNS hostname but contains a dash in an invalid position,%value%' tampaknya menjadi nama host DNS tapi mengandung dash dalam posisi yang tidak valid
'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded,%value%' tampaknya menjadi nama host DNS tetapi notasi punycode diberikan tidak dapat diterjemahkan
'%value%' appears to be a local network name but local network names are not allowed,%value%' tampaknya menjadi nama jaringan lokal tetapi nama jaringan lokal tidak diizinkan
"'%value%' appears to be an IP address, but IP addresses are not allowed","%value%' tampaknya menjadi alamat IP, tapi alamat IP tidak diizinkan"
'%value%' does not appear to be a valid local network name,%value%' tidak muncul untuk menjadi nama jaringan lokal yang valid
* Required Fields,* Bidang Yang Harus Diisi
ALL GROUPS,SEMUA KELOMPOK
Account Dashboard,Dashboard akun
Account Information,Informasi Akun
Account Sharing Options,Account Options Berbagi
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Konfirmasi akun diperlukan. Silakan, periksa e-mail Anda untuk link konfirmasi. Untuk mengirim ulang email konfirmasi silahkan <a href=""%s""> klik disini </a>."
Action,Tindakan
Add New Address,Add New Alamat
Add New Customer,Tambahkan Pelanggan Baru
Add New Customer Group,Add New Pelanggan Grup
Added From,Ditambahkan Dari
Additional Address Entries,Entri Alamat tambahan
Address,Alamat
Address Book,Buku Alamat
Address Books,Alamat Buku
Address Information,Informasi Alamat
Address Templates,Alamat Template
Addresses,Alamat
Admin,Admin
All,Semua
All Store Views,Semua Toko Views
All countries,Semua negara
Always optional.,Selalu opsional.
Amount,Jumlah
An error occurred while deleting the address.,Terjadi kesalahan saat menghapus alamat.
An error occurred while retrieving the option value: %s.,Terjadi kesalahan saat mengambil nilai opsi:%s.
"An error occurred while saving the collection, aborting. Error: %s","Terjadi kesalahan saat menyimpan koleksi, batal. Kesalahan:%s"
"An invalid option ID is specified for %s (%s), skipping the record.","ID opsi tidak valid ditentukan untuk%s (%s), melompat-lompat catatan."
Approved,Disetujui
Are you sure that you want to remove this item?,Apakah Anda yakin bahwa Anda ingin menghapus item ini?
Are you sure you want to cancel adding of this address?,Apakah Anda yakin ingin membatalkan penambahan alamat ini?
Are you sure you want to delete this address?,Apakah Anda yakin ingin menghapus alamat ini?
Are you sure?,Apa kamu yakin?
Array of Entity collections is expected.,Array koleksi Entity diharapkan.
Assign a Customer Group,Menetapkan Kelompok Pelanggan
Average Sale,Rata Sale
Back,Kembali
Back - link to the previously viewed page,Kembali - link ke halaman sebelumnya dilihat
Back to Login,Kembali ke Login
Bad request.,Permintaan buruk.
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Berdasarkan ID PPN, pelanggan akan menjadi milik Grup Pelanggan%s."
Bill to Name,Bill untuk Nama
Bought From,Membeli Dari
