"""%s"" coupon code is not valid.",%s kode kupon tidak sah.
%s,%s
%s / %s rate:,%s /%s tingkat:
%s for %s,%s untuk%s
%s order(s) cannot be canceled,%s order  tidak dapat dibatalkan
%s order(s) have been canceled.,%s order  telah dibatalkan.
%s order(s) have been put on hold.,%s order  telah ditahan.
%s order(s) have been released from holding status.,%s order  telah dibebaskan dari statusnya memegang.
%s order(s) were not put on hold.,%s order  tidak ditahan.
%s order(s) were not released from holding status.,%s order  tidak dibebaskan dari statusnya memegang.
* - Enter custom price excluding tax,* - Masukkan harga kustom tidak termasuk pajak
* - Enter custom price including tax,* - Masukkan harga kustom termasuk pajak
* Required Fields,* Bidang Yang Harus Diisi
-- Please Select --,- Silahkan Pilih -
-- Please Select Billing Agreement--,- Silakan Pilih Penagihan Agreement--
About This Order:,Tentang Orde ini:
About This Profile:,Tentang Profil:
About Your Invoice,Tentang Faktur Anda
About Your Order,Tentang Pesanan Anda
About Your Refund,Tentang Pembayaran Anda
About Your Shipment,Tentang Pengiriman Anda
Accept Payment,Menerima Pembayaran
Accept or Deny Payment,Terima atau Tolak Pembayaran
Account Information,Informasi Akun
Action,Tindakan
Actions,Tindakan
Activate,Mengaktifkan
Active,Aktif
Add,Menambahkan
Add New Address,Add New Alamat
Add Order Comments,Tambahkan Orde Komentar
Add Package,Tambahkan Paket
Add Products,Tambahkan Produk
Add Selected Product(s) to Option,Tambah Produk Terpilih  ke Option
Add Selected Product(s) to Order,Tambah Produk Terpilih  untuk Order
Add Selected Product(s) to Package,Tambah Produk Terpilih  ke Kemas
Add To Order,Tambahkan Untuk Order
Add Tracking Number,Tambahkan Nomor Pelacakan
Add comment to order,Tambahkan komentar untuk memesan
Add new comment to credit memo,Kirim komentar memo kredit
Add new comment to shipment,Kirim komentar pengiriman
Add new tracking number,Tambahkan nomor pelacakan baru
Add to Cart,Tambahkan ke Cart
Additional Product Info,Info Produk Tambahan
Address,Alamat
Address model is not defined.,Alamat Model tidak didefinisikan.
Adjustment Fee,Penyesuaian Biaya
Adjustment Refund,Penyesuaian Refund
Agreement Information,Informasi perjanjian
Allow Reorder,Biarkan Susun ulang
Amount,Jumlah
Amount: %s.,Jumlah:%s.
An error occurred while assigning order status. Status has not been assigned.,Terjadi kesalahan saat menetapkan status pesanan. Status belum ditetapkan.
An error occurred while creating shipping label.,Terjadi kesalahan saat membuat label pengiriman.
An error occurred while saving order status. The status has not been added.,Terjadi kesalahan saat menyimpan status pesanan. Status belum ditambahkan.
An error occurred while unassigning order status.,Terjadi kesalahan saat status pesanan unassigning.
An error occurred while updating the order address. The address has not been changed.,Terjadi kesalahan saat memperbarui alamat order. Alamat belum berubah.
An item option with code %s already exists.,Pilihan barang dengan kode%s sudah ada.
Anchor Custom Title,Jangkar Kustom Judul
Append Comments,Menambahkan Komentar
Apply,Berlaku
Apply Coupon Code,Terapkan Kode Kupon
Approved the payment online.,Disetujui pembayaran online.
Are you sure you want to accept this payment?,Apakah Anda yakin ingin menerima pembayaran ini?
Are you sure you want to cancel this order?,Apakah Anda yakin ingin membatalkan pesanan ini?
Are you sure you want to delete all items from shopping cart?,Apakah Anda yakin ingin menghapus semua item dari keranjang belanja?
Are you sure you want to deny this payment?,Apakah Anda yakin ingin menyangkal pembayaran ini?
Are you sure you want to do this?,Apakah Anda yakin ingin melakukan ini?
Are you sure you want to send Creditmemo email to customer?,Apakah Anda yakin Anda ingin mengirim email Creditmemo ke pelanggan?
Are you sure you want to send Invoice email to customer?,Apakah Anda yakin Anda ingin mengirim email Faktur kepada pelanggan?
Are you sure you want to send Shipment email to customer?,Apakah Anda yakin Anda ingin mengirim email Pengiriman ke pelanggan?
Are you sure you want to send order email to customer?,Apakah Anda yakin Anda ingin mengirim email untuk pelanggan?
Are you sure you want to void the payment?,Apakah Anda yakin ingin membatalkan pembayaran?
Are you sure?,Apa kamu yakin?
