%s was added to your shopping cart.,%s telah ditambahkan ke keranjang belanja Anda.
%s was updated in your shopping cart.,%s telah diupdate di keranjang belanja Anda.
(Excl. Tax),(Excl. Pajak)
(Incl. Tax),(Termasuk. Pajak)
* Required Fields,* Bidang Yang Harus Diisi
Add New Address,Add New Alamat
Add New Condition,Tambahkan Kondisi Baru
Add coupon code for shopping cart,Menambahkan kode kupon untuk keranjang belanja
Add gift messages to shopping cart,Tambahkan pesan hadiah ke keranjang belanja
Add product to shopping cart,Tambahkan produk ke keranjang belanja
Add product(s) to shopping cart,Tambahkan produk (s) ke keranjang belanja
Add to Cart,Tambahkan ke Cart
Add to Compare,Tambahkan ke Bandingkan
Add to Wishlist,Tambahkan ke Daftar Keinginan
Additional Product Info,Info Produk Tambahan
Address,Alamat
Address %s of %s,Alamat%s dari%s
After Adding a Product Redirect to Shopping Cart,Setelah Menambahkan Produk yang Redirect ke Keranjang Belanja
Allow Guest Checkout,Izinkan Tamu Checkout
Already registered?,Sudah terdaftar?
An error occurred in the process of payment,Terjadi kesalahan dalam proses pembayaran
An error occurred while deleting this condition.,Terjadi kesalahan saat menghapus kondisi ini.
An error occurred while saving this condition.,Terjadi kesalahan saat menyimpan kondisi ini.
Apply,Berlaku
Apply Coupon,Terapkan Kupon
Are you sure you want to leave this page? You will need to go through the checkout steps again.,Apakah Anda yakin ingin meninggalkan halaman ini? Anda akan perlu melalui langkah-langkah checkout lagi.
Are you sure you would like to remove this item from the shopping cart?,Apakah Anda yakin ingin menghapus item ini dari keranjang belanja?
Back,Kembali
Back to Billing Information,Kembali ke Billing Information
Back to Select Addresses,Kembali ke Pilih Alamat
Back to Shipping Information,Kembali ke Informasi Pengiriman
Back to Shopping Cart,Kembali ke Keranjang Belanja
"Based on your selection, you may be interested in the following items:","Berdasarkan pilihan Anda, Anda mungkin tertarik pada item berikut:"
Billing Address,Penagihan Alamat
Billing Information,Informasi Tagihan
Billing Information - %s,Billing Information -%s
Can not remove the item.,Tidak dapat menghapus item.
Can not save item.,Tidak bisa menyimpan item.
Cancel,Membatalkan
Cancel Coupon,Batal Kupon
Cannot add item to the shopping cart.,Tidak dapat menambahkan item ke keranjang belanja.
Cannot add the item to shopping cart,Tidak dapat menambahkan item ke keranjang belanja
Cannot add the item to shopping cart.,Tidak dapat menambahkan item ke keranjang belanja.
Cannot apply the coupon code.,Tidak dapat menerapkan kode kupon.
Cannot configure product.,Tidak dapat mengkonfigurasi produk.
Cannot open the overview page,Tidak dapat membuka halaman ikhtisar
Cannot process the item.,Tidak dapat memproses item.
Cannot remove the item.,Tidak dapat menghapus item.
Cannot update shopping cart.,Tidak dapat memperbarui keranjang belanja.
Cannot update the item.,Tidak dapat memperbarui item.
Card Verification Number Visual Reference,Verifikasi Nomor Kartu Visual Referensi
Cart,Troli
Cart Product API,Keranjang Produk API
Cart Subtotal:,Keranjang Subtotal:
Change,Perubahan
Change Billing Address,Perubahan Alamat Penagihan
Checkbox Text,Checkbox Teks
Checkout,Pemeriksaan
Checkout Conditions,Kondisi Checkout
Checkout Forms Extra,Bentuk Checkout Ekstra
Checkout Method,Metode Checkout
Checkout Options,Pilihan Checkout
Checkout Progress Wrapper,Checkout Kemajuan Wrapper
Checkout Section,Bagian Checkout
Checkout Terms and Conditions,Syarat dan Ketentuan Checkout
Checkout as Guest,Checkout sebagai Tamu
Checkout as a Guest or Register,Checkout sebagai Tamu atau Daftar
Checkout with Multiple Addresses,Checkout dengan Multiple Alamat
City,Kota
Clear Shopping Cart,Batal Keranjang Belanja
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" onclick=""this.target=\'_blank\'""> sini untuk mencetak </a> salinan konfirmasi pesanan Anda."
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s""> sini </a> untuk melanjutkan belanja."
Close,Dekat
Company,Perusahaan
Condition Name,Kondisi Nama
Configurable Product Image,Dikonfigurasi Gambar Produk
Configure Cart Item,Konfigurasi Cart Barang
Confirm Password,Konfirmasi Kata Sandi
Content,Kadar
Content Height,Konten Tinggi
Content Height (css),Konten Tinggi (css)
Continue,Terus
Continue Shopping,Lanjutkan Belanja
Continue to Billing Information,Terus Informasi Penagihan
Continue to Review Your Order,Lanjutkan ke Review Pesanan Anda
Continue to Shipping Information,Terus Pengiriman Informasi
Country,Negara
"Coupon code ""%s"" is not valid.","Kode kupon ""%s"" tidak valid."
"Coupon code ""%s"" was applied.","Kode kupon ""%s"" diterapkan."
Coupon code was canceled.,Kode kupon dibatalkan.
Create Billing Address,Buat Alamat Penagihan
Create Shipping Address,Buat Alamat Pengiriman
Create an order from shopping cart,Buat pesanan dari keranjang belanja
Create shopping cart,Buat keranjang belanja
Customer Address is not valid.,Alamat pelanggan tidak valid.
Customer Information,Informasi Pengguna
Customer's information,Informasi pelanggan
Data saving problem,Menyimpan data masalah
Default Billing,Default Penagihan
Default Shipping,Standar Pengiriman
Delete Condition,Hapus Kondisi
Details,Detail
Disabled,Cacat
Discount Codes,Kode Diskon
Display Cart Summary,Tampilan Cart Ringkasan
Display Shopping Cart Sidebar,Tampilan Daftar Belanja Sidebar
Display item quantities,Jumlah item tampilan
Display number of items in cart,Jumlah tampilan item di keranjang
Display number of items in wishlist,Jumlah tampilan item dalam daftar harapan
Easy access to your order history and status,Akses mudah ke riwayat pesanan Anda dan status
Edit,Mengedit
Edit Address,Mengedit Alamat
Edit Billing Address,Mengedit Alamat Penagihan
Edit Condition,Mengedit Kondisi
Edit Items,Mengedit Produk
Edit Shipping Address,Mengedit Alamat Pengiriman
Edit Terms and Conditions,Mengedit Syarat dan Ketentuan
Edit Your Cart,Mengedit Cart Anda
Edit item,Mengedit Item
Edit item parameters,Parameter mengedit Item
Email Address,Alamat Email
